run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
ERR1549032	SAMEA4356869	ERX1619802	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549032/ERR1549032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549032/ERR1549032_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/002/ERR1549032	
ERR1549035	SAMEA4356872	ERX1619805	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549035/ERR1549035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549035/ERR1549035_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/005/ERR1549035	
ERR1549036	SAMEA4356873	ERX1619806	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549036/ERR1549036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549036/ERR1549036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/006/ERR1549036	
ERR1549040	SAMEA4356877	ERX1619810	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549040/ERR1549040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549040/ERR1549040_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/000/ERR1549040	
ERR1549043	SAMEA4356880	ERX1619813	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549043/ERR1549043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549043/ERR1549043_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/003/ERR1549043	
ERR1549045	SAMEA4356882	ERX1619815	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549045/ERR1549045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549045/ERR1549045_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/005/ERR1549045	
ERR1549047	SAMEA4356884	ERX1619817	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/007/ERR1549047/ERR1549047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/007/ERR1549047/ERR1549047_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/007/ERR1549047	
ERR1549049	SAMEA4356886	ERX1619819	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549049/ERR1549049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549049/ERR1549049_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/009/ERR1549049	
ERR1549050	SAMEA4356887	ERX1619820	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549050/ERR1549050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549050/ERR1549050_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/000/ERR1549050	
ERR1549051	SAMEA4356888	ERX1619821	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/001/ERR1549051/ERR1549051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/001/ERR1549051/ERR1549051_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/001/ERR1549051	
ERR1549052	SAMEA4356889	ERX1619822	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549052/ERR1549052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549052/ERR1549052_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/002/ERR1549052	
ERR1549053	SAMEA4356890	ERX1619823	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549053/ERR1549053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549053/ERR1549053_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/003/ERR1549053	
ERR1549055	SAMEA4356892	ERX1619825	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549055/ERR1549055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549055/ERR1549055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/005/ERR1549055	
ERR1549059	SAMEA4356896	ERX1619829	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549059/ERR1549059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549059/ERR1549059_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/009/ERR1549059	
ERR1549060	SAMEA4356897	ERX1619830	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549060/ERR1549060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549060/ERR1549060_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/000/ERR1549060	
ERR1549062	SAMEA4356899	ERX1619832	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549062/ERR1549062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549062/ERR1549062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/002/ERR1549062	
ERR1549063	SAMEA4356900	ERX1619833	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549063/ERR1549063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549063/ERR1549063_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/003/ERR1549063	
ERR1549066	SAMEA4356903	ERX1619836	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549066/ERR1549066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549066/ERR1549066_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/006/ERR1549066	
