run_accession	sample_accession	study_accession
SRR5431574	SAMN06678628	PRJNA381395
SRR5431579	SAMN06678628	PRJNA381395
SRR5431580	SAMN06678628	PRJNA381395
SRR5431254	SAMN06675896	PRJNA381395
SRR5431258	SAMN06675912	PRJNA381395
SRR5431265	SAMN06675903	PRJNA381395
SRR5431287	SAMN06675867	PRJNA381395
SRR5431297	SAMN06675853	PRJNA381395
SRR5431298	SAMN06675852	PRJNA381395
SRR5431300	SAMN06675850	PRJNA381395
SRR5431302	SAMN06675848	PRJNA381395
SRR5431315	SAMN06675834	PRJNA381395
SRR5431316	SAMN06675832	PRJNA381395
SRR5431320	SAMN06675912	PRJNA381395
SRR5431331	SAMN06675901	PRJNA381395
SRR5431332	SAMN06675900	PRJNA381395
SRR5431333	SAMN06675899	PRJNA381395
SRR5431334	SAMN06675898	PRJNA381395
SRR5431335	SAMN06675897	PRJNA381395
SRR5431339	SAMN06675893	PRJNA381395
SRR5431342	SAMN06675890	PRJNA381395
SRR5431343	SAMN06675889	PRJNA381395
SRR5431349	SAMN06675883	PRJNA381395
SRR5431355	SAMN06675877	PRJNA381395
SRR5431358	SAMN06675874	PRJNA381395
SRR5431359	SAMN06675873	PRJNA381395
SRR5431379	SAMN06675853	PRJNA381395
SRR5431393	SAMN06675839	PRJNA381395
SRR5431406	SAMN06675829	PRJNA381395
SRR5431436	SAMN06675802	PRJNA381395
SRR5431447	SAMN06675791	PRJNA381395
SRR5431449	SAMN06675789	PRJNA381395
SRR5431453	SAMN06675785	PRJNA381395
SRR5431477	SAMN06675762	PRJNA381395
SRR5431484	SAMN06675755	PRJNA381395
SRR5431517	SAMN06675725	PRJNA381395
SRR5431568	SAMN06678628	PRJNA381395
SRR5440328	SAMN06678673	PRJNA381395
SRR5440329	SAMN06678673	PRJNA381395
SRR5440330	SAMN06678673	PRJNA381395
SRR5440332	SAMN06678674	PRJNA381395
SRR5440336	SAMN06678674	PRJNA381395
SRR5440338	SAMN06678672	PRJNA381395
SRR5440350	SAMN06678662	PRJNA381395
SRR5440353	SAMN06678660	PRJNA381395
SRR5440354	SAMN06678659	PRJNA381395
SRR5440368	SAMN06678646	PRJNA381395
