run_accession	sample_accession	study_accession
SRR19064704	SAMN28061701	PRJNA834801
SRR19064706	SAMN28061700	PRJNA834801
SRR19064709	SAMN28061697	PRJNA834801
SRR19064713	SAMN28062348	PRJNA834801
SRR19064714	SAMN28062344	PRJNA834801
SRR19064715	SAMN28061696	PRJNA834801
SRR19064717	SAMN28062342	PRJNA834801
SRR19064725	SAMN28062297	PRJNA834801
SRR19064728	SAMN28062298	PRJNA834801
SRR19064731	SAMN28062293	PRJNA834801
SRR19064736	SAMN28062288	PRJNA834801
SRR19064738	SAMN28062286	PRJNA834801
SRR19064745	SAMN28062224	PRJNA834801
SRR19064747	SAMN28061630	PRJNA834801
SRR19064750	SAMN28062221	PRJNA834801
SRR19064753	SAMN28062229	PRJNA834801
SRR19064755	SAMN28062129	PRJNA834801
SRR19064757	SAMN28062126	PRJNA834801
SRR19064758	SAMN28062125	PRJNA834801
SRR19064760	SAMN28062124	PRJNA834801
SRR19064761	SAMN28061674	PRJNA834801
SRR19064763	SAMN28062123	PRJNA834801
SRR19064764	SAMN28062122	PRJNA834801
SRR19064766	SAMN28062120	PRJNA834801
SRR19064771	SAMN28062078	PRJNA834801
SRR19064772	SAMN28062077	PRJNA834801
SRR19064776	SAMN28062073	PRJNA834801
SRR19064777	SAMN28062072	PRJNA834801
SRR19064779	SAMN28062071	PRJNA834801
SRR19064783	SAMN28062066	PRJNA834801
SRR19064785	SAMN28062064	PRJNA834801
SRR19064786	SAMN28062067	PRJNA834801
SRR19064788	SAMN28062063	PRJNA834801
SRR19064791	SAMN28062040	PRJNA834801
SRR19064792	SAMN28062039	PRJNA834801
SRR19064797	SAMN28062034	PRJNA834801
SRR19064800	SAMN28062032	PRJNA834801
SRR19064801	SAMN28062030	PRJNA834801
SRR19064802	SAMN28062029	PRJNA834801
SRR19064803	SAMN28062028	PRJNA834801
SRR19064808	SAMN28062024	PRJNA834801
SRR19064809	SAMN28061628	PRJNA834801
SRR19064811	SAMN28062002	PRJNA834801
SRR19064816	SAMN28061998	PRJNA834801
SRR19064818	SAMN28061996	PRJNA834801
SRR19064824	SAMN28061991	PRJNA834801
SRR19064826	SAMN28061989	PRJNA834801
SRR19064829	SAMN28061985	PRJNA834801
SRR19064835	SAMN28061981	PRJNA834801
SRR19064837	SAMN28061979	PRJNA834801
SRR19064839	SAMN28061977	PRJNA834801
SRR19064842	SAMN28061659	PRJNA834801
SRR19064844	SAMN28061973	PRJNA834801
SRR19064847	SAMN28061970	PRJNA834801
SRR19064848	SAMN28061968	PRJNA834801
SRR19064850	SAMN28061966	PRJNA834801
SRR19064852	SAMN28061965	PRJNA834801
SRR19064855	SAMN28061887	PRJNA834801
SRR19064859	SAMN28061884	PRJNA834801
SRR19064861	SAMN28061883	PRJNA834801
SRR19064870	SAMN28061649	PRJNA834801
SRR19064872	SAMN28061872	PRJNA834801
SRR19064873	SAMN28061874	PRJNA834801
SRR19064874	SAMN28061871	PRJNA834801
SRR19064875	SAMN28061870	PRJNA834801
SRR19064876	SAMN28061869	PRJNA834801
SRR19064880	SAMN28061865	PRJNA834801
SRR19064882	SAMN28061648	PRJNA834801
SRR19064883	SAMN28061863	PRJNA834801
SRR19064889	SAMN28061857	PRJNA834801
SRR19064902	SAMN28061845	PRJNA834801
SRR19064905	SAMN28061843	PRJNA834801
SRR19064906	SAMN28061842	PRJNA834801
SRR19064907	SAMN28061841	PRJNA834801
SRR19064910	SAMN28061838	PRJNA834801
SRR19064911	SAMN28061837	PRJNA834801
SRR19064914	SAMN28061834	PRJNA834801
SRR19064915	SAMN28061645	PRJNA834801
SRR19064918	SAMN28061795	PRJNA834801
SRR19064919	SAMN28061794	PRJNA834801
SRR19064920	SAMN28061641	PRJNA834801
SRR19064923	SAMN28061791	PRJNA834801
SRR19064925	SAMN28061789	PRJNA834801
SRR19064927	SAMN28061787	PRJNA834801
SRR19064928	SAMN28061786	PRJNA834801
SRR19064931	SAMN28061640	PRJNA834801
SRR19064932	SAMN28061783	PRJNA834801
SRR19064936	SAMN28061780	PRJNA834801
SRR19064937	SAMN28061722	PRJNA834801
SRR19064938	SAMN28061721	PRJNA834801
SRR19064946	SAMN28061633	PRJNA834801
SRR19064951	SAMN28061708	PRJNA834801
SRR19064956	SAMN28061704	PRJNA834801
SRR19064963	SAMN28062239	PRJNA834801
SRR19064964	SAMN28062237	PRJNA834801
SRR19064965	SAMN28062236	PRJNA834801
SRR19064971	SAMN28062232	PRJNA834801
SRR19064972	SAMN28062231	PRJNA834801
SRR19064978	SAMN28061695	PRJNA834801
SRR19064980	SAMN28062332	PRJNA834801
SRR19064981	SAMN28062331	PRJNA834801
SRR19064982	SAMN28062330	PRJNA834801
SRR19064986	SAMN28062325	PRJNA834801
SRR19064988	SAMN28062327	PRJNA834801
SRR19064989	SAMN28061694	PRJNA834801
SRR19064991	SAMN28062323	PRJNA834801
SRR19064992	SAMN28062322	PRJNA834801
SRR19064993	SAMN28062321	PRJNA834801
SRR19065001	SAMN28062277	PRJNA834801
SRR19065003	SAMN28062275	PRJNA834801
SRR19065011	SAMN28062267	PRJNA834801
SRR19065012	SAMN28062266	PRJNA834801
SRR19065013	SAMN28062265	PRJNA834801
SRR19065017	SAMN28062208	PRJNA834801
SRR19065032	SAMN28062194	PRJNA834801
SRR19065033	SAMN28061681	PRJNA834801
SRR19065034	SAMN28062193	PRJNA834801
SRR19065037	SAMN28062134	PRJNA834801
