alias,project_id,sample_id
DP087,PRJNA834801,SAMN28061930
DP086,PRJNA834801,SAMN28061929
DP084,PRJNA834801,SAMN28061928
DP083,PRJNA834801,SAMN28061927
DP053,PRJNA834801,SAMN28061901
DP052,PRJNA834801,SAMN28061900
DP048,PRJNA834801,SAMN28061897
DP046,PRJNA834801,SAMN28061895
DP045,PRJNA834801,SAMN28061894
DP042,PRJNA834801,SAMN28061892
DP040,PRJNA834801,SAMN28061890
DC020,PRJNA834801,SAMN28061639
DC185,PRJNA834801,SAMN28061765
DC181,PRJNA834801,SAMN28061763
DP603,PRJNA834801,SAMN28062314
DP602,PRJNA834801,SAMN28062313
DP601,PRJNA834801,SAMN28062312
DP596,PRJNA834801,SAMN28062308
DP595,PRJNA834801,SAMN28062307
DP591,PRJNA834801,SAMN28062304
DC095,PRJNA834801,SAMN28061692
DP590,PRJNA834801,SAMN28062303
DP529,PRJNA834801,SAMN28062259
DP528,PRJNA834801,SAMN28062258
DP527,PRJNA834801,SAMN28062257
DC085,PRJNA834801,SAMN28061687
DP518,PRJNA834801,SAMN28062252
DP516,PRJNA834801,SAMN28062251
DP515,PRJNA834801,SAMN28062250
DP438,PRJNA834801,SAMN28062190
DP437,PRJNA834801,SAMN28062189
DC076,PRJNA834801,SAMN28061680
DP427,PRJNA834801,SAMN28062182
DP414,PRJNA834801,SAMN28062173
DP339,PRJNA834801,SAMN28062117
DP338,PRJNA834801,SAMN28062116
DP337,PRJNA834801,SAMN28062115
DP488,PRJNA834801,SAMN28062227
DP412,PRJNA834801,SAMN28062171
DP408,PRJNA834801,SAMN28062169
DC073,PRJNA834801,SAMN28061678
DP400,PRJNA834801,SAMN28062162
DP399,PRJNA834801,SAMN28062161
DP398,PRJNA834801,SAMN28062160
DP394,PRJNA834801,SAMN28062157
DP309,PRJNA834801,SAMN28062094
DP304,PRJNA834801,SAMN28062090
DP302,PRJNA834801,SAMN28062088
DC065,PRJNA834801,SAMN28061670
DP296,PRJNA834801,SAMN28062083
DP206,PRJNA834801,SAMN28062021
