run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
SRR14711455	SAMN19513519	SRX11049472	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/055/SRR14711455/SRR14711455.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/055/SRR14711455/SRR14711455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/055/SRR14711455/SRR14711455_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/055/SRR14711455	
SRR14711456	SAMN19513518	SRX11049471	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/056/SRR14711456/SRR14711456.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/056/SRR14711456/SRR14711456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/056/SRR14711456/SRR14711456_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/056/SRR14711456	
SRR14711457	SAMN19513517	SRX11049470	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/057/SRR14711457/SRR14711457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/057/SRR14711457/SRR14711457_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/057/SRR14711457	
SRR14711458	SAMN19513516	SRX11049469	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/058/SRR14711458/SRR14711458.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/058/SRR14711458/SRR14711458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/058/SRR14711458/SRR14711458_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/058/SRR14711458	
SRR14711460	SAMN19513515	SRX11049467	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/060/SRR14711460/SRR14711460.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/060/SRR14711460/SRR14711460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/060/SRR14711460/SRR14711460_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/060/SRR14711460	
SRR14711462	SAMN19513513	SRX11049465	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/062/SRR14711462/SRR14711462.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/062/SRR14711462/SRR14711462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/062/SRR14711462/SRR14711462_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/062/SRR14711462	
SRR14711464	SAMN19513511	SRX11049463	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/064/SRR14711464/SRR14711464.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/064/SRR14711464/SRR14711464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/064/SRR14711464/SRR14711464_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/064/SRR14711464	
SRR14711466	SAMN19513509	SRX11049461	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/066/SRR14711466/SRR14711466.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/066/SRR14711466/SRR14711466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/066/SRR14711466/SRR14711466_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/066/SRR14711466	
SRR14711472	SAMN19513504	SRX11049455	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/072/SRR14711472/SRR14711472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/072/SRR14711472/SRR14711472_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/072/SRR14711472	
SRR14711473	SAMN19513503	SRX11049454	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/073/SRR14711473/SRR14711473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/073/SRR14711473/SRR14711473_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/073/SRR14711473	
SRR14711476	SAMN19513500	SRX11049451	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/076/SRR14711476/SRR14711476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/076/SRR14711476/SRR14711476_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/076/SRR14711476	
SRR14711477	SAMN19513499	SRX11049450	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/077/SRR14711477/SRR14711477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/077/SRR14711477/SRR14711477_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/077/SRR14711477	
SRR14711493	SAMN19513485	SRX11049434	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/093/SRR14711493/SRR14711493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/093/SRR14711493/SRR14711493_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/093/SRR14711493	
SRR14711494	SAMN19513484	SRX11049433	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/094/SRR14711494/SRR14711494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/094/SRR14711494/SRR14711494_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/094/SRR14711494	
SRR14711499	SAMN19513479	SRX11049428	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/099/SRR14711499/SRR14711499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/099/SRR14711499/SRR14711499_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/099/SRR14711499	
SRR14711503	SAMN19513440	SRX11049424	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711503/SRR14711503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711503/SRR14711503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/003/SRR14711503	
SRR14711508	SAMN19513471	SRX11049419	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/008/SRR14711508/SRR14711508.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/008/SRR14711508/SRR14711508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/008/SRR14711508/SRR14711508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/008/SRR14711508	
SRR14711509	SAMN19513470	SRX11049418	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/009/SRR14711509/SRR14711509.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/009/SRR14711509/SRR14711509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/009/SRR14711509/SRR14711509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/009/SRR14711509	
SRR14711518	SAMN19513462	SRX11049409	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/018/SRR14711518/SRR14711518.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/018/SRR14711518/SRR14711518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/018/SRR14711518/SRR14711518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/018/SRR14711518	
SRR14711526	SAMN19513455	SRX11049401	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/026/SRR14711526/SRR14711526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/026/SRR14711526/SRR14711526_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/026/SRR14711526	
